accept,input,String
accept-charset,form,String
accesskey,"*",String
action,form,String
alt,"area,img,input",String
async,script,String
autocomplete,"form,input",String
autofocus,"button,input,select,textarea",String
autoplay,"audio,video",String
charset,"meta,script",String
checked,input,String
cite,"blockquote,del,ins,q",String
class,"*",String
cols,textarea,String
colspan,"td,th",String
content,meta,String
contenteditable,"*",String
controls,"audio,video",String
coords,area,String
data,object,String
datetime,"del,ins,time",String
default,track,String
defer,script,String
dir,"*",String
dirname,"input,textarea",String
disabled,"button,fieldset,input,optgroup,option,select,textarea",String
download,"a,area",String
draggable,"*",String
enctype,form,String
for,"label,output",String
form,"button,fieldset,input,label,meter,object,output,select,textarea",String
formaction,"button,input",String
headers,"td,th",String
height,"canvas,embed,iframe,img,input,object,video",String
hidden,"*",String
high,meter,String
href,"a,area,base,link",String
hreflang,"a,area,link",String
http-equiv,meta,String
id,"*",String
ismap,img,String
kind,track,String
label,"track,option,optgroup",String
lang,"*",String
list,input,String
loop,"audio,video",String
low,meter,String
max,"input,meter,progress",String
maxlength,"input,textarea",String
media,"a,area,link,source,style",String
method,form,String
min,"input,meter",String
multiple,"input,select",String
muted,"video,audio",String
name,"button,fieldset,form,iframe,input,map,meta,object,output,param,select,textarea",String
novalidate,form,String
onabort,"audio,embed,img,object,video",yew::callback::Callback<websys::Event>
onafterprint,body,yew::callback::Callback<websys::Event>
onbeforeprint,body,yew::callback::Callback<websys::Event>
onbeforeunload,body,yew::callback::Callback<websys::Event>
onblur,"visible",yew::callback::Callback<websys::Event>
oncanplay,"audio,embed,object,video",yew::callback::Callback<websys::Event>
oncanplaythrough,"audio,video",yew::callback::Callback<websys::Event>
onchange,"visible",yew::callback::Callback<websys::Event>
onclick,"visible",yew::callback::Callback<websys::Event>
oncontextmenu,"visible",yew::callback::Callback<websys::Event>
oncopy,"visible",yew::callback::Callback<websys::Event>
oncuechange,track,yew::callback::Callback<websys::Event>
oncut,"visible",yew::callback::Callback<websys::Event>
ondblclick,"visible",yew::callback::Callback<websys::Event>
ondrag,"visible",yew::callback::Callback<websys::Event>
ondragend,"visible",yew::callback::Callback<websys::Event>
ondragenter,"visible",yew::callback::Callback<websys::Event>
ondragleave,"visible",yew::callback::Callback<websys::Event>
ondragover,"visible",yew::callback::Callback<websys::Event>
ondragstart,"visible",yew::callback::Callback<websys::Event>
ondrop,"visible",yew::callback::Callback<websys::Event>
ondurationchange,"audio,video",yew::callback::Callback<websys::Event>
onemptied,"audio,video",yew::callback::Callback<websys::Event>
onended,"audio,video",yew::callback::Callback<websys::Event>
onerror,"audio,body,embed,img,object,script,style,video",yew::callback::Callback<websys::Event>
onfocus,"visible",yew::callback::Callback<websys::Event>
onhashchange,body,yew::callback::Callback<websys::Event>
oninput,"visible",yew::callback::Callback<websys::Event>
oninvalid,"visible",yew::callback::Callback<websys::Event>
onkeydown,"visible",yew::callback::Callback<websys::Event>
onkeypress,"visible",yew::callback::Callback<websys::Event>
onkeyup,"visible",yew::callback::Callback<websys::Event>
onload,"body,iframe,img,input,link,script,style",yew::callback::Callback<websys::Event>
onloadeddata,"audio,video",yew::callback::Callback<websys::Event>
onloadedmetadata,"audio,video",yew::callback::Callback<websys::Event>
onloadstart,"audio,video",yew::callback::Callback<websys::Event>
onmousedown,"visible",yew::callback::Callback<websys::Event>
onmousemove,"visible",yew::callback::Callback<websys::Event>
onmouseout,"visible",yew::callback::Callback<websys::Event>
